prof,Lu,Ma,Mi,Jo,Vi
p01,10C 10F 12C 6A 9B 9H,10B 10C 10D 12C 9B,10D 12C 6A 9B 9E,10C 10F 11A 9B 9H,11E 12C 9B 9E 9H
p02,10C 11C 11G 12A 12D,10C 10G 11D 6B 7A,10G 12A 6B 7A 10C,11G 12A 12D 12F 7A,10D 11G 12A 12F
p03,10A 10D 7A 8A 9H,10G 11G 9E 9G 9H,10B 11G 12B 9G,10F 12A 12G 8A 9D,10A 10B 10G 12G 7A
p04,11D 12D 6A,11F 12E 6B 7B,12F 7B 9F,11E 12D 5A 9E,12E 7A 8A 9D
p04p11,10E 9C 9G,10B 9H,10D 10G 9B,10A 9A,10C 10F
p05,9G 11B 11F 12C 7B,11B 12C 12G 6A 8A,11B 11B 12C 9G,11B 11B 11F 12C 12G,11B 11E 12C 6A 9G
p06,7A 11F 12F 6B,10A 10D 12A 12D 9E,10B 11D 11F 12F 5A,10D 11F 12D 5A 9G,10D 12D 12F 9E
p07,10E 10F 11F 12B,12D 6A 6B 7B 8A,10A 10F 12D 12E 12G,10E 11F 12A 12E 12F,10C 12D 12F 8A
p08,12D 12E 9D 9E,12D 12E 12F 9B 9H,12D 9C 9D 9G,12A 12C 12F 9F,12B 12G 9A 9E 9F
p09,10C 6A 7B 8A 9B,10C 6A 7B 8A,10C 6A 7B 8A 9B,6A 7B 8A 9B,10C 7B 8A 9B
p10,10B 11A 12B 12G 9A,10B 11A 12B 9A,10E 12B 12G 7A 9D,10B 11A 7A 9D,10E 11F 12G 9A
p11,12F 5A 9F,11E 7A 9E,12D 6A 7B,11D 6B 8A,11F 6B 9D
p12,11B 5A 6A 8A,10A 10G 6B 7A,7B 10C 6A 7A 8A,10A 10C 5A 6B,10G 11A 7B 6A
p13,10A 12E 12F 9E,11D 12E 12F 9G,12F 12G 9E 9F,9G 11D 11G 9F,10A 11G 12E 12G
p14,10B 10E 11F 6B,10C 11A 11F 12A,11E 11F 12A 7B,10B 11A 11E 7B,10C 10E 11E 6B
p15,7B 11F 12F 9F,11D 11F 12F 9F,9F 12C 12F 7A,11D 11F 12C 9F,11D 11F 12C 12F
